sampleOverall,sampleIndiv,GC,normcov
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,38,1.072626
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,39,1.074788
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,40,1.067073
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,41,1.055458
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,42,1.042623
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,43,1.020246
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,44,0.993989
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,45,0.975257
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,46,0.954633
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,47,0.939153
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,48,0.926763
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,49,0.915522
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,50,0.905671
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,51,0.896672
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,52,0.889002
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,53,0.882701
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,54,0.878158
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,55,0.873265
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,56,0.867297
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,57,0.861463
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,58,0.853308
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,59,0.845147
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,60,0.836562
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,61,0.828183
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,62,0.818530
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,63,0.808541
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,64,0.799473
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,65,0.790681
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,66,0.780213
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,67,0.772208
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,68,0.774239
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,69,0.768405
